card_name,set_id,card_number,binder_name,page_number,slot_number
Abra,base0,43,1,1,1
Bulbasaur,base0,44,1,1,2
Caterpie,base0,45,1,1,3
Charmander,base0,46,1,1,4
Diglett,base0,47,1,1,5
Doduo,base0,48,1,1,6
Drowzee,base0,49,1,1,7
Gastly,base0,50,1,1,8
Koffing,base0,51,1,1,9
Machop,base0,52,1,1,10
Magnemite,base0,53,1,1,11
Metapod,base0,54,1,1,12
Nidoran♂,base0,55,1,1,13
Onix,base0,56,1,1,14
Pidgey,base0,57,1,1,15
Pikachu,base0,58,1,1,16
Poliwag,base0,59,1,1,17
Ponyta,base0,60,1,1,18
Rattata,base0,61,1,1,19
Sandshrew,base0,62,1,1,20
Squirtle,base0,63,1,1,21
Starmie,base0,64,1,1,22
Staryu,base0,65,1,1,23
Tangela,base0,66,1,1,24
Voltorb,base0,67,1,1,25
Vulpix,base0,68,1,1,26
Weedle,base0,69,1,1,27
Clefairy Doll,base0,70,1,1,28
Computer Search,base0,71,1,1,29
Devolution Spray,base0,72,1,1,30
Imposter Professor Oak,base0,73,1,1,31
Item Finder,base0,74,1,1,32
Lass,base0,75,1,1,33
Pokemon Breeder,base0,76,1,1,34
Pokemon Trader,base0,77,1,1,35
Scoop Up,base0,78,1,1,36
Super Energy Removal,base0,79,1,1,37
Defender,base0,80,1,1,38
Energy Retrieval,base0,81,1,1,39
Full Heal,base0,82,1,1,40
Maintenance,base0,83,1,1,41
PlusPower,base0,84,1,1,42
Pokemon Center,base0,85,1,1,43
Pokemon Flute,base0,86,1,1,44
Pokedex,base0,87,1,1,45
Professor Oak,base0,88,1,1,46
Revive,base0,89,1,1,47
Super Potion,base0,90,1,1,48
Bill,base0,91,1,1,49
Energy Removal,base0,92,1,1,50
Gust of Wind,base0,93,1,1,51
Potion,base0,94,1,1,52
Switch,base0,95,1,1,53
Double Colorless Energy,base0,96,1,1,54
Fighting Energy,base0,97,1,1,55
Fire Energy,base0,98,1,1,56
Grass Energy,base0,99,1,1,57
Lightning Energy,base0,100,1,1,58
Psychic Energy,base0,101,1,1,59
Water Energy,base0,102,1,1,60
